isc,Voc,FF,PCE,i_Rrad_MPP,i_Rsrh_MPP,i_Raug_MPP,i_RII_MPP,i_RIII_MPP,i_Rrad_OC,i_Rsrh_OC,i_Raug_OC,i_RII_OC,i_RIII_OC,i_Rrad_SC,i_Rsrh_SC,i_Raug_SC,i_RII_SC,i_RIII_SC
181.3137,0.870246360628733,0.652781464592116,10.30008125,0.3701007,0.08956876,0.0003922659,14.92715,1.125704,0.80224702,0.19172448,0.002331154,104.44058,75.781026,0.80224702,0.19172448,0.002331154,104.44058,75.781026
297.3192,0.796950995759581,0.187854316911617,4.4511861072,0.0003393511,0.0001820479914,0.00577066402,0.002249744468,165.523412,0.0059035616,0.00316243304,0.30591286,0.598000388,316.019952,0.0059035616,0.00316243304,0.30591286,0.598000388,316.019952
238.644,0.831309379040268,0.457887558961104,9.0838937077,0.0287979156,0.0101623833,0.0001365762681,44.9956218,0.006233462068,0.0898486416,0.0318749556,0.00169802548,201.64214,36.80614,0.0898486416,0.0318749556,0.00169802548,201.64214,36.80614
316.657,0.869224538681386,0.320629522215229,8.8252004612,2.43117639,96.7919076,0.000586418319,0.00200535170000001,0.0120428092,8.03807784,240.9232,0.00538854064,70.2863328,0.0445947852,8.03807784,240.9232,0.00538854064,70.2863328,0.0445947852
305.4554,0.608536776761883,0.306438389209367,5.6961026592,0.303692948,0.000664807456,1.396147168e-05,184.05102,0.1855259744,1.71211768,0.00343676372,0.000150237948,260.93794,74.221694,1.71211768,0.00343676372,0.000150237948,260.93794,74.221694
223.1664,0.924224146641059,0.463204241057301,9.553855,0.07251452,0.004267017,0.01453678,32.0039,0.0005032051,0.374153408,0.011988868,0.46161784,197.330512,24.9437388,0.374153408,0.011988868,0.46161784,197.330512,24.9437388
329.1861,1.02251240313256,0.586883799273522,19.754325,0.08175956,0.190106,12.6666,1.128956e-05,52.87756,0.444812308,0.333540324,124.64398,0.00144302612,204.021096,0.444812308,0.333540324,124.64398,0.00144302612,204.021096
249.9287,0.683825330664469,0.225974048582075,3.8620676864,0.000619308388,0.192893748,4.44365236e-05,78.1970624,3.633145276e-06,0.0055037508,0.837936576,0.0075691076,237.997912,12.04441256,0.0055037508,0.837936576,0.0075691076,237.997912,12.04441256
266.5502,0.989867827922354,0.441319468318553,11.6441906716,1.29759032,3.71748592,63.954304,27.592714,0.0028313096,2.040238,4.3779636,92.890142,92.779876,76.6993519999999,2.040238,4.3779636,92.890142,92.779876,76.6993519999999
133.4626,0.682622507112187,0.753850619337051,6.867924,12.84483,0.004940127,5.90386,0.008538198,0.2942147,64.8406156,0.0247663756,66.0343340000001,0.0322953588,3.71521984,64.8406156,0.0247663756,66.0343340000001,0.0322953588,3.71521984
128.4398,0.773674581571111,0.423272340036595,4.206083,8.570615,0.225126,8.184249,0.0009058638,27.77306,22.0595848,0.352011636,24.990782,28.9898792,52.7822208,22.0595848,0.352011636,24.990782,28.9898792,52.7822208
